"Title","Author","Year","Tag","Text"
"Wisdom for a Purpose","Rabbi Yaakov Haber","1999","Moadim: chanu",
"Active Prayer","Rabbi Yaakov Haber","1999","Moadim: succot",
"Simchas Torah: In Anticipation","Rabbi Yaakov Neuburger","1999","Moadim: sim",
"Reflections on Sefirat ha-Omer","Rabbi Michael Rosensweig","1999","Moadim: sefira",
"Between <I>Pesach</I> and <I>Atzeret</I>: Perspectives on <I>Sefirat Ha-Omer</I>","Rabbi Yonasan Sacks","1999","Moadim: sefira",
"An Attitude of Confidence","Rabbi Herschel Schachter","1999","Moadim: rhyk",
"The Song of the <I>Beit HaMikdash</I>","Rabbi Zvi Sobolofsky","1999","Moadim: tav",
"And It Happened at Midnight","Rabbi Mayer Twersky","1999","Moadim: pesach",
"As One Person with One Heart","Rabbi Mayer Twersky","1999","Moadim: shavuot",
"Shabbat Chanukah","Rav Mordechai Willig","1999","Moadim: chanuka",
"Purim: the Holiday of Giving","Rav Mordechai Willig","1999","Moadim: purim",
"<i>Veahavta Le-Raiacha Kamocha</I>","Rabbi Mordechai Willig","1999","Moadim: sefira",
"<I>Tefilla</I> of <I>Yomim Noraim</I>: Texts, Times, &amp; Tunes","Rabbi Mordechai Willig","1999","Moadim: yk",
"A Healthy Tension before <I>Mattan Torah</i>","Rabbi Benjamin Yudin","1999","Moadim: shavuos",
"Man-Made Reward","Rabbi Yaakov Haber","1999","Parsha: lech",
"Serving God <i>Ka'asher Diber</i>","Rabbi Yaakov Neuberger","1999","Parsha: nasso",
"The Interdependence of Generations","Rabbi Yaakov Neuburger","1999","Parsha: pinchas",
"<I>VaYifga Bamokom</I>","Rabbi Yaakov Neuberger","1999","Parsha: vay",
"Sefer Vayikra: A Halachic Stream of Consciousness","Rabbi Yaakov Neuberger","1999","Parsha: vayikra",
"The Significance of <I>Nedarim</I>","Rabbi Michael Rosensweig","1999","Parsha: matot",
"The Spiritual Legacy of Noah and Avraham","Rabbi Michael Rosensweig","1999","Parsha: noach",
"Parshat Chayei Sara - Jewish Burial","Rabbi Herschel Shachter","1999","Parsha: chayey",
"Praying for a Miracle","Rabbi Herschel Schachter","1999","Parsha: korach",
"Appreciating <I>Kedushah</i>","Rabbi Herschel","1999","Parsha: taz",
"<I>Mitzvot Le-Dorot</I> and <I>Hora'ot Sha'ah</I>","Rav Herschel Schachter","1999","Parsha: vapi",
"<I>Mitzvot Le-Dorot</I> and <I>Hora'ot Sha'ah</I>","Rav Herschel Schachter","1999","Parsha: vapi",
"<I>Mesorah</I> and Change","Rav Herschel Schachter","1999","Parsha: vayech",
"The Mishkan and Parah Adumah: Tikkunim for the Eigel","Rabbi Zvi Sobolofsky","1999","Parsha: kisisa",
"Decision of Life and Death","Rabbi Zvi Sobolofsky","1999","Parsha: achmot",
"To See and To Be Seen","Rabbi Zvi Sobolofsky","1999","Parsha: balak",
"Parshat Bereshit - Justice and Mercy: Creation One and Two","Rabbi Zvi Sobolofsky","1999","Parsha: breishis",
"The Mishkan and Parah Adumah: Tikkunim for the Eigel","Rabbi Zvi Sobolofsky","1999","Parsha: kisisa",
"Yaakov and Yisrael - A Dual Destiny","Rabbi Zvi Sobolofsky","1999","Parsha: vayishlach",
"Free Will and Divine Providence","Rabbi Mayer Twersky","1999","Parsha: vayigash",
"<I>Toras Emes</i>","Rabbi Mordechai Willig","1999","Parsha: bhalos",
"<I>Baruch Shepetarani</I>","Rabbi Mordechai Willig","1999","Parsha: toldos",
"Bitter, Not Bad","Rabbi Benjamin Yudin","1999","Parsha: shemot",
"Daily Double Acceptance of <I>Mitzvot</i>","Rabbi Benjamin Yudin","1999","Parsha: shlach",
"Not Only <I>Shabbos</I>, but <I>Erev Shabbos</I>","Rabbi Benjamin Yudin","1999","Parsha: vayera",
"The Lesson of a Calf and a Cow","Rabbi Yaakov Haber","2000","Moadim: para",
"<I>B'zos Ani Boteach</I>","Rabbi Yaakov Neuburger","2000","Moadim: sukkos",
"The Significance of <I>Rosh Chodesh</I> and the Month of Elul","Rabbi Michael Rosensweig","2000","Moadim: elul",
"<I>Matzah</I> - The Food of <I>Emunah</I>","Rabbi Herschel Schachter","2000","Moadim: pesach",
"Our Master and Our Beloved: A Dual Approach to <I>Avodat Hashem</I>","Rabbi Zvi Sobolofsky","2000","Moadim: shavuos",
"The Song of Life","Rabbi Zvi Sobolofsky","2000","Moadim: succos",
"Praying for What?","Rabbi Benjamin Yudin","2000","Moadim: rh",
"On <I>Makkot</I> and Scientific Endeavors","Rabbi Yaakov Haber","2000","Parsha: bo",
"The Human Microcosm","Rabbi Yaakov Haber","2000","Parsha: braishis",
"<I>Beit HaMikdash</i>: Built by Whom?","Rabbi Yaakov Haber","2000","Parsha: kedoshim",
"The <I>Sotah</I> and the Purpose of Prayer","Rabbi Yaakov Haber","2000","Parsha: naso",
"The Choice is Ours","Rabbi Yaakov Haber","2000","Parsha: reeh",
"Sartorial Splendor for the Soul","Rabbi Yaakov Haber","2000","Parsha: tetzav",
"Prayer and Needs","Rabbi Yaakov Haber","2000","Parsha: vayetse",
"<I>Ma'aseh Eretz  Mitzrayim</I> - Bad Culture or Bad Character","Rabbi Yaakov Neuberger","2000","Parsha: achmos",
"No More Pencils - No More Books","Rabbi Yaakov Neuberger","2000","Parsha: behalos",
"Don't Curse the Ignorance - Add Wisdom","Rabbi Yaakov Neuberger","2000","Parsha: devarim",
"Investment Style and Portfolios","Rabbi Yaakov Neuberger","2000","Parsha: eikev",
"<I>Matan Torah</i>: Take Two","Rabbi Yaakov Neuberger","2000","Parsha: mishpatim",
"The Lesson of the <I>Ness Nigla</I>","Rabbi Yaakov Neuberger","2000","Parsha: vayeshev",
"The Relationship between Shabbat and the <i>Moadim</i>","Rabbi Michael Rosensweig","2000","Parsha: emor",
"<I>Shevah Mizvot Benei Noah</I> vs. <I>Brit Milah</I>","Rabbi Michael Rosensweig","2000","Parsha: noach2000",
"Means and Ends in the Pursuit of <I>Kedushah</i>","Rabbi Michael Rosensweig","2000","Parsha: pekudei",
"<I>Parshat Shelach</I>: The Transgression of the <I>Meraglim</I>","Rabbi Michael Rosensweig","2000","Parsha: shelach",
"Moshe Rabbeinu's Legacy of Leadership","Rabbi Michael Rosensweig","2000","Parsha: vaera",
"The Character and Compassion of Yosef","Rabbi Yonasan Sacks","2000","Parsha: mekeitz",
"<I>""Badad Yeisheiv""</i>: Appreciating <I>Kedushas Yisroel</i>","Rabbi Yonasan Sacks","2000","Parsha: metzora",
"Unique and Isolated","Rabbi Herschel Schachter","2000","Parsha: hazinu",
"It's In Our Genes","Rabbi Herschel Schachter","2000","Parsha: kisavo",
"The Torah She'Baal Peh","Rabbi Herschel Schachter","2000","Parsha: kisisa",
"All Men Are Created Equal","Rabbi Herschel Schachter","2000","Parsha: korach",
"The Boundaries of the Land","Rabbi Herschel Schachter","2000","Parsha: matos-masei",
"""Centrist Orthodoxy""","Rabbi Herschel Schachter","2000","Parsha: vayera",
"<I>Brit Millah</I> - A Different Type of <I>Mikvah</I>","Rabbi Zvi Sobolofsky","2000","Parsha: tazria",
"The Culmination of <I>Yetziat Mitzrayim</I>","Rabbi Zvi Sobolofsky","2000","Parsha: terumah",
"Physical and Spiritual Danger - the Legacy of Eisav</I>","Rabbi Zvi Sobolofsky","2000","Parsha: vayishlach",
"The Sanctity of Life - The Message of the <I>Beit Hamikdosh</I>","Rabbi Zvi Sobolofsky","2000","Parsha: vetchanan",
"Parshas Bechukosai","Rabbi Mayer Twersky","2000","Parsha: bechukosai",
"Attaining Faith","Rabbi Mayer Twersky","2000","Parsha: beshalach",
"Internalizing Torah","Rabbi Mayer Twersky","2000","Parsha: chayeysara",
"Covenant and Curse","Rabbi Mayer Twersky","2000","Parsha: netsavim",
"<I>Bamidbar</I> and <I>Shavuos</I>","Rabbi Mordechai Willig","2000","Parsha: bamidbar",
"<I>Kibud Av V'aim</I> vs. Living in Israel","Rabbi Mordechai Willig","2000","Parsha: lechlecha",
"Pinchas, <I>Bris Mila</I>, and Parenting","Rabbi Mordechai Willig","2000","Parsha: pinchas",
"<I>Ziknei Yisrael</i>","Rabbi Mordechai Willig","2000","Parsha: shmini",
"Remember Miriam","Rabbi Mordechai Willig","2000","Parsha: teitsei",
"Parshat Yitro - Torah and Secular Studies","Rabbi Mordechai Willig","2000","Parsha: yisro",
"Prerequisites for the Class","Rabbi Benjamin Yudin","2000","Parsha: balak",
